Pool_Numb,PlateRun,PlateRunDate,SH_Temp,SH_Tide,Bag,Site,Lease,Species,Year,Cohort,Sample_Date,Sampling_Period,Pool_Rep,Weight_mg,SampleSize,Copies_per_2ul,Copies_per_ul,CopiesX200,Copies_per_mgTissue,log_transform,OsHV1,Pos_Neg,,Notes
624,22,45089,21,Tide,8,North,HIOC,M. gigas,2022,2022,12-Aug-22,5,1,15.9,5,4054893.549,2027446.775,405489354.9,25502475.15,7.406582333,1,Pos,,
625,22,45089,21,Tide,8,North,HIOC,M. gigas,2022,2022,12-Aug-22,5,2,17.8,5,89.55654425,44.77827212,8955.654425,503.1266531,2.701677325,1,Pos,,
626,22,45089,21,Tide,8,North,HIOC,M. gigas,2022,2022,12-Aug-22,5,3,18.6,5,5.139766238,2.569883119,513.9766238,27.63315181,1.441430423,1,Pos,,
627,22,45089,21,Tide,8,North,HIOC,M. gigas,2022,2022,12-Aug-22,5,4,16.5,5,179.3992698,89.69963492,17939.92698,1087.268302,3.036336727,1,Pos,,
628,22,45089,21,Tide,9,North,HIOC,M. gigas,2022,2022,12-Aug-22,5,1,20.8,5,3.854757506,1.927378753,385.4757506,18.53248801,1.267933728,1,Pos,,
629,22,45089,21,Tide,9,North,HIOC,M. gigas,2022,2022,12-Aug-22,5,2,18.6,5,30.59232266,15.29616133,3059.232266,164.474853,2.216099507,1,Pos,,
630,22,45089,21,Tide,9,North,HIOC,M. gigas,2022,2022,12-Aug-22,5,3,18.9,5,0,0,0,0,0,0,Neg,,
631,22,45089,21,Tide,9,North,HIOC,M. gigas,2022,2022,12-Aug-22,5,4,17.8,5,7.621610704,3.810805352,762.1610704,42.81803766,1.63162676,1,Pos,,
632,22,45089,21,No Tide,10,North,HIOC,M. gigas,2022,2022,12-Aug-22,5,1,17.5,5,232350.513,116175.2565,23235051.3,1327717.217,6.123105587,1,Pos,,
633,22,45089,21,No Tide,10,North,HIOC,M. gigas,2022,2022,12-Aug-22,5,2,15,5,19054.26983,9527.134915,1905426.983,127028.4655,5.103901052,1,Pos,,
634,22,45089,21,No Tide,10,North,HIOC,M. gigas,2022,2022,12-Aug-22,5,3,17.5,5,2666406.185,1333203.093,266640618.5,15236606.77,7.182888259,1,Pos,,
635,22,45089,21,No Tide,10,North,HIOC,M. gigas,2022,2022,12-Aug-22,5,4,20,5,958320.7599,479160.38,95832075.99,4791603.8,6.680480901,1,Pos,,
636,22,45089,21,No Tide,11,North,HIOC,M. gigas,2022,2022,12-Aug-22,5,1,15.8,4,2121430.71,1060715.355,212143071,13426776.64,7.127971764,1,Pos,,
637,22,45089,21,No Tide,11,North,HIOC,M. gigas,2022,2022,12-Aug-22,5,2,23.6,4,10760.06504,5380.03252,1076006.504,45593.49593,4.658902893,1,Pos,,
638,23,45089,21,No Tide,11,North,HIOC,M. gigas,2022,2022,12-Aug-22,5,3,15.4,4,890787.5775,445393.7888,89078757.75,5784334.919,6.762253431,1,Pos,,
639,23,45089,21,No Tide,11,North,HIOC,M. gigas,2022,2022,12-Aug-22,5,4,11.7,4,3909896.176,1954948.088,390989617.6,33417916.03,7.523979363,1,Pos,,
640,23,45089,21,No Tide,12,North,HIOC,M. gigas,2022,2022,11-Aug-22,5,1,21.3,5,385.3222231,192.6611115,38532.22231,1809.024521,3.257444454,1,Pos,,
641,23,45089,21,No Tide,12,North,HIOC,M. gigas,2022,2022,11-Aug-22,5,2,16.1,5,315.1799269,157.5899634,31517.99269,1957.639297,3.291732674,1,Pos,,
642,23,45089,21,No Tide,12,North,HIOC,M. gigas,2022,2022,11-Aug-22,5,3,9.1,5,767.8160537,383.9080268,76781.60537,8437.539051,3.926215796,1,Pos,,
643,23,45089,21,No Tide,12,North,HIOC,M. gigas,2022,2022,11-Aug-22,5,4,21.2,5,49.70734851,24.85367426,4970.734851,234.4686251,2.370084737,1,Pos,,
644,23,45089,15,No Tide,13,Middle,BBOC,M. gigas,2022,2022,11-Aug-22,5,1,18.3,5,442.5353566,221.2676783,44253.53566,2418.225992,3.383496885,1,Pos,,
645,23,45089,15,No Tide,13,Middle,BBOC,M. gigas,2022,2022,11-Aug-22,5,2,16.7,5,51.05157544,25.52578772,5105.157544,305.6980566,2.485292678,1,Pos,,
646,23,45089,15,No Tide,13,Middle,BBOC,M. gigas,2022,2022,11-Aug-22,5,3,21.9,5,1117.715396,558.8576978,111771.5396,5103.723268,3.707887118,1,Pos,,
647,23,45089,15,No Tide,13,Middle,BBOC,M. gigas,2022,2022,11-Aug-22,5,4,23.4,5,674.0405925,337.0202963,67404.05925,2880.515353,3.459470194,1,Pos,,
648,23,45089,15,No Tide,14,Middle,BBOC,M. gigas,2022,2022,11-Aug-22,5,1,11.8,5,362.6295996,181.3147998,36262.95996,3073.1322,3.487581243,1,Pos,,
649,23,45089,15,No Tide,14,Middle,BBOC,M. gigas,2022,2022,11-Aug-22,5,2,18.1,5,659.8839336,329.9419668,65988.39336,3645.767589,3.56178898,1,Pos,,
650,23,45089,15,No Tide,14,Middle,BBOC,M. gigas,2022,2022,11-Aug-22,5,3,19.4,5,832442.9325,416221.4663,83244293.25,4290942.951,6.632552741,1,Pos,,
651,23,45089,15,No Tide,14,Middle,BBOC,M. gigas,2022,2022,11-Aug-22,5,4,16.8,5,158252.7856,79126.39279,15825278.56,941980.8665,5.974042082,1,Pos,,
652,23,45089,15,No Tide,15,Middle,BBOC,M. gigas,2022,2022,11-Aug-22,5,1,17.8,5,1022.54182,511.2709101,102254.182,5744.616967,3.759261077,1,Pos,,
