date,time_pt,site,bag_numb,T1_Mort,End_Mort,,,,,,,,,
10/16/2020,5,HIOC,1,250,166,,1,167,40,0.994011976,0.005988024,125,y,PS
10/16/2020,5,HIOC,2,250,128,,0,128,40,1,0,88,y,PS
10/16/2020,5,HIOC,3,250,114,,1,115,40,0.991304348,0.008695652,73,y,PS
10/16/2020,5,HIOC,4,250,167,,0,167,40,1,0,127,y,PS
10/17/2020,5,TBOC,5,250,147,,0,147,40,1,0,107,y,PS
10/17/2020,5,TBOC,6,250,155,,6,161,40,0.962732919,0.037267081,109,y,PS
10/17/2020,5,TBOC,7,250,139,,12,151,40,0.920529801,0.079470199,87,y,PS
10/17/2020,5,TBOC,8,250,158,,2,160,40,0.9875,0.0125,116,y,PS
