Numb,Date_Time,Temp_C
164,7/15/2020 9:00,17.962
165,7/15/2020 10:00,19.08
166,7/15/2020 11:00,20.293
167,7/15/2020 12:00,20.841
168,7/15/2020 13:00,21.581
169,7/15/2020 14:00,22.441
170,7/15/2020 15:00,22.944
171,7/15/2020 16:00,24.026
172,7/15/2020 17:00,22.082
173,7/15/2020 18:00,21.939
174,7/15/2020 19:00,21.628
175,7/15/2020 20:00,21.509
176,7/15/2020 21:00,21.437
177,7/15/2020 22:00,21.581
178,7/15/2020 23:00,21.032
179,7/16/2020 0:00,21.127
180,7/16/2020 1:00,21.175
181,7/16/2020 2:00,21.294
182,7/16/2020 3:00,20.817
183,7/16/2020 4:00,19.722
184,7/16/2020 5:00,19.246
185,7/16/2020 6:00,20.031
186,7/16/2020 7:00,20.46
187,7/16/2020 8:00,20.674
188,7/16/2020 9:00,20.341
189,7/16/2020 10:00,20.436
190,7/16/2020 11:00,20.865
191,7/16/2020 12:00,20.936
192,7/16/2020 13:00,21.39
193,7/16/2020 14:00,21.891
194,7/16/2020 15:00,22.106
195,7/16/2020 16:00,21.987
196,7/16/2020 17:00,21.915
197,7/16/2020 18:00,21.795
198,7/16/2020 19:00,21.628
199,7/16/2020 20:00,21.533
200,7/16/2020 21:00,21.485
201,7/16/2020 22:00,21.413
202,7/16/2020 23:00,21.318
203,7/17/2020 0:00,21.27
204,7/17/2020 1:00,21.223
205,7/17/2020 2:00,21.246
206,7/17/2020 3:00,20.865
207,7/17/2020 4:00,20.174
208,7/17/2020 5:00,19.127
209,7/17/2020 6:00,14.314
210,7/17/2020 7:00,20.007
211,7/17/2020 8:00,20.46
212,7/17/2020 9:00,20.65
213,7/17/2020 10:00,20.746
214,7/17/2020 11:00,20.269
215,7/17/2020 12:00,20.579
216,7/17/2020 13:00,21.103
217,7/17/2020 14:00,21.581
218,7/17/2020 15:00,21.939
219,7/17/2020 16:00,22.154
220,7/17/2020 17:00,22.298
221,7/17/2020 18:00,21.987
222,7/17/2020 19:00,22.058
223,7/17/2020 20:00,21.652
224,7/17/2020 21:00,21.533
225,7/17/2020 22:00,21.485
226,7/17/2020 23:00,21.366
227,7/18/2020 0:00,21.342
228,7/18/2020 1:00,21.079
229,7/18/2020 2:00,20.984
230,7/18/2020 3:00,20.936
231,7/18/2020 4:00,20.46
232,7/18/2020 5:00,19.056
233,7/18/2020 6:00,15.151
234,7/18/2020 7:00,15.103
235,7/18/2020 8:00,19.841
236,7/18/2020 9:00,20.317
237,7/18/2020 10:00,20.865
238,7/18/2020 11:00,21.318
239,7/18/2020 12:00,21.7
240,7/18/2020 13:00,22.154
241,7/18/2020 14:00,22.585
242,7/18/2020 15:00,23.232
243,7/18/2020 16:00,24.798
244,7/18/2020 17:00,24.726
245,7/18/2020 18:00,23.569
246,7/18/2020 19:00,23.088
247,7/18/2020 20:00,22.824
248,7/18/2020 21:00,22.776
249,7/18/2020 22:00,22.393
250,7/18/2020 23:00,22.226
251,7/19/2020 0:00,22.417
252,7/19/2020 1:00,22.393
253,7/19/2020 2:00,22.345
254,7/19/2020 3:00,22.729
255,7/19/2020 4:00,22.657
256,7/19/2020 5:00,21.867
257,7/19/2020 6:00,18.699
258,7/19/2020 7:00,15.199
259,7/19/2020 8:00,15.247
260,7/19/2020 9:00,21.151
261,7/19/2020 10:00,21.772
262,7/19/2020 11:00,21.843
263,7/19/2020 12:00,22.154
264,7/19/2020 13:00,22.274
265,7/19/2020 14:00,22.609
266,7/19/2020 15:00,22.896
267,7/19/2020 16:00,23.472
268,7/19/2020 17:00,23.833
269,7/19/2020 18:00,23.761
270,7/19/2020 19:00,23.064
271,7/19/2020 20:00,22.561
272,7/19/2020 21:00,22.13
273,7/19/2020 22:00,21.891
274,7/19/2020 23:00,21.724
275,7/20/2020 0:00,21.628
276,7/20/2020 1:00,21.604
277,7/20/2020 2:00,21.891
278,7/20/2020 3:00,21.867
279,7/20/2020 4:00,21.676
280,7/20/2020 5:00,21.175
281,7/20/2020 6:00,20.198
282,7/20/2020 7:00,14.673
283,7/20/2020 8:00,14.721
284,7/20/2020 9:00,15.318
285,7/20/2020 10:00,20.793
286,7/20/2020 11:00,21.199
287,7/20/2020 12:00,21.175
288,7/20/2020 13:00,21.246
289,7/20/2020 14:00,21.342
290,7/20/2020 15:00,21.533
291,7/20/2020 16:00,21.604
292,7/20/2020 17:00,21.748
293,7/20/2020 18:00,21.676
294,7/20/2020 19:00,21.485
295,7/20/2020 20:00,21.39
296,7/20/2020 21:00,21.318
297,7/20/2020 22:00,21.27
298,7/20/2020 23:00,21.223
299,7/21/2020 0:00,21.103
300,7/21/2020 1:00,21.056
301,7/21/2020 2:00,20.936
302,7/21/2020 3:00,20.698
303,7/21/2020 4:00,20.436
304,7/21/2020 5:00,20.079
305,7/21/2020 6:00,19.555
306,7/21/2020 7:00,18.818
307,7/21/2020 8:00,15.055
308,7/21/2020 9:00,16.201
309,7/21/2020 10:00,20.889
310,7/21/2020 11:00,20.603
311,7/21/2020 12:00,20.793
312,7/21/2020 13:00,21.008
313,7/21/2020 14:00,21.39
314,7/21/2020 15:00,21.628
315,7/21/2020 16:00,21.581
316,7/21/2020 17:00,21.581
317,7/21/2020 18:00,21.39
318,7/21/2020 19:00,21.318
319,7/21/2020 20:00,21.294
320,7/21/2020 21:00,21.175
321,7/21/2020 22:00,21.079
322,7/21/2020 23:00,20.984
323,7/22/2020 0:00,20.936
324,7/22/2020 1:00,20.865
325,7/22/2020 2:00,20.817
326,7/22/2020 3:00,20.674
327,7/22/2020 4:00,20.579
328,7/22/2020 5:00,20.222
329,7/22/2020 6:00,19.746
330,7/22/2020 7:00,19.08
331,7/22/2020 8:00,17.938
332,7/22/2020 9:00,16.939
333,7/22/2020 10:00,18.01
334,7/22/2020 11:00,20.627
335,7/22/2020 12:00,20.627
336,7/22/2020 13:00,20.936
337,7/22/2020 14:00,21.413
338,7/22/2020 15:00,21.604
339,7/22/2020 16:00,22.058
340,7/22/2020 17:00,22.513
341,7/22/2020 18:00,22.537
342,7/22/2020 19:00,22.465
343,7/22/2020 20:00,21.843
344,7/22/2020 21:00,22.011
345,7/22/2020 22:00,21.843
346,7/22/2020 23:00,21.318
347,7/23/2020 0:00,21.318
348,7/23/2020 1:00,21.246
349,7/23/2020 2:00,21.151
350,7/23/2020 3:00,21.127
351,7/23/2020 4:00,21.246
352,7/23/2020 5:00,21.032
353,7/23/2020 6:00,20.817
354,7/23/2020 7:00,20.412
355,7/23/2020 8:00,19.77
356,7/23/2020 9:00,15.485
357,7/23/2020 10:00,19.627
358,7/23/2020 11:00,27.431
359,7/23/2020 12:00,23.545
360,7/23/2020 13:00,22.729
361,7/23/2020 14:00,22.896
362,7/23/2020 15:00,22.705
363,7/23/2020 16:00,22.729
364,7/23/2020 17:00,22.92
365,7/23/2020 18:00,23.064
366,7/23/2020 19:00,23.376
367,7/23/2020 20:00,23.136
368,7/23/2020 21:00,22.657
369,7/23/2020 22:00,22.274
370,7/23/2020 23:00,22.082
371,7/24/2020 0:00,21.867
372,7/24/2020 1:00,21.604
373,7/24/2020 2:00,21.366
374,7/24/2020 3:00,21.199
375,7/24/2020 4:00,21.079
376,7/24/2020 5:00,20.96
377,7/24/2020 6:00,20.484
378,7/24/2020 7:00,20.174
379,7/24/2020 8:00,19.651
380,7/24/2020 9:00,19.698
381,7/24/2020 10:00,19.817
382,7/24/2020 11:00,19.96
383,7/24/2020 12:00,21.246
384,7/24/2020 13:00,21.223
385,7/24/2020 14:00,21.223
386,7/24/2020 15:00,21.27
387,7/24/2020 16:00,21.246
388,7/24/2020 17:00,21.199
389,7/24/2020 18:00,21.127
390,7/24/2020 19:00,21.127
391,7/24/2020 20:00,21.056
392,7/24/2020 21:00,21.079
393,7/24/2020 22:00,20.722
394,7/24/2020 23:00,20.507
395,7/25/2020 0:00,20.412
396,7/25/2020 1:00,20.484
397,7/25/2020 2:00,20.46
398,7/25/2020 3:00,20.46
399,7/25/2020 4:00,20.365
400,7/25/2020 5:00,20.126
401,7/25/2020 6:00,19.865
402,7/25/2020 7:00,19.413
403,7/25/2020 8:00,19.032
404,7/25/2020 9:00,18.794
405,7/25/2020 10:00,20.436
406,7/25/2020 11:00,27.505
407,7/25/2020 12:00,25.744
408,7/25/2020 13:00,22.992
409,7/25/2020 14:00,22.274
410,7/25/2020 15:00,22.321
411,7/25/2020 16:00,22.106
412,7/25/2020 17:00,22.441
413,7/25/2020 18:00,22.609
414,7/25/2020 19:00,22.202
415,7/25/2020 20:00,23.521
416,7/25/2020 21:00,23.28
417,7/25/2020 22:00,23.737
418,7/25/2020 23:00,23.4
419,7/26/2020 0:00,22.705
420,7/26/2020 1:00,21.987
421,7/26/2020 2:00,21.772
422,7/26/2020 3:00,21.533
423,7/26/2020 4:00,21.318
424,7/26/2020 5:00,21.199
425,7/26/2020 6:00,21.223
426,7/26/2020 7:00,21.103
427,7/26/2020 8:00,20.65
428,7/26/2020 9:00,20.46
429,7/26/2020 10:00,20.531
