Sampling_Period,Date,Lease,N_M_S,Rep,O_665,O_750,A_665,A_750,Chl_a
3,20-Aug-21,TBOC,M,8,0.247,0.004,0.218,0.002,5.320242
3,20-Aug-21,TBOC,S,9,0.211,0.002,0.21,0.001,0
4,6-Sep-21,BBOC,N,1,0.221,0.003,0.201,0.002,3.743874
4,6-Sep-21,BBOC,N,2,0.342,0.007,0.282,0.005,11.428668
4,6-Sep-21,BBOC,M,3,0.441,0.011,0.387,0.008,10.049346
4,6-Sep-21,BBOC,S,4,0.287,0.01,0.274,0.008,2.167506
4,6-Sep-21,BBOC,S,5,0.413,0.008,0.379,0.007,6.502518
4,6-Sep-21,BBOC,N,6,0.312,0.007,0.262,0.006,9.655254
4,6-Sep-21,BBOC,M,7,0.291,0.008,0.252,0.005,7.093656
4,6-Sep-21,BBOC,M,8,0.243,0.006,0.222,0.004,3.743874
4,6-Sep-21,BBOC,S,9,0.244,0.008,0.198,0.003,8.078886
4,5-Sep-21,TBOC,N,1,0.21,0.001,0.201,0,1.576368
4,5-Sep-21,TBOC,N,2,0.176,0.005,0.161,0.004,2.758644
4,5-Sep-21,TBOC,M,3,0.189,0.007,0.171,0.003,2.758644
4,5-Sep-21,TBOC,S,4,0.321,0.003,0.308,0.002,2.364552
4,5-Sep-21,TBOC,S,5,0.249,0.008,0.238,0.004,1.379322
4,5-Sep-21,TBOC,N,6,0.189,0.002,0.179,0.001,1.773414
4,5-Sep-21,TBOC,M,7,0.199,0.001,0.175,0,4.532058
4,5-Sep-21,TBOC,M,8,0.201,0.004,0.192,0.002,1.379322
4,5-Sep-21,TBOC,S,9,0.305,0.004,0.282,0.002,4.137966
4,7-Sep-21,HIOC,N,1,0.212,0.003,0.181,0.002,5.91138
4,7-Sep-21,HIOC,N,2,0.298,0.005,0.242,0.003,10.640484
4,7-Sep-21,HIOC,N,3,0.301,0.003,0.267,0.001,6.305472
4,7-Sep-21,HIOC,M,4,0.402,0.006,0.392,0.005,1.773414
4,7-Sep-21,HIOC,M,5,0.416,0.003,0.372,0.002,8.472978
4,7-Sep-21,HIOC,M,6,0.399,0.003,0.378,0.001,3.743874
4,7-Sep-21,HIOC,S,7,0.32,0.007,0.301,0.004,3.152736
4,7-Sep-21,HIOC,S,8,0.318,0.002,0.268,0.002,9.8523
4,7-Sep-21,HIOC,S,9,0.281,0.002,0.248,0.001,6.305472
,,,,,,,,,
5,1-Dec-21,HIOC,N,1,0.197,0.004,0.187,0.001,1.379322
5,1-Dec-21,HIOC,N,2,0.218,0.003,0.207,0.002,1.97046
5,1-Dec-21,HIOC,N,3,0.181,0.004,0.175,0.004,1.182276
5,1-Dec-21,HIOC,M,4,0.131,0.003,0.114,0.002,3.152736
5,1-Dec-21,HIOC,M,5,0.141,0.004,0.132,0.003,1.576368
5,1-Dec-21,HIOC,M,6,0.153,0.004,0.141,0.002,1.97046
5,1-Dec-21,HIOC,S,7,0.164,0.002,0.145,0.001,3.546828
5,1-Dec-21,HIOC,S,8,0.221,0.001,0.211,0.002,2.167506
5,1-Dec-21,HIOC,S,9,0.14,0.001,0.128,0,2.167506
5,1-Dec-21,BBOC,N,1,0.19,0.004,0.178,0.002,1.97046
5,1-Dec-21,BBOC,N,2,0.21,0.007,0.194,0.004,2.561598
5,1-Dec-21,BBOC,N,3,0.301,0.008,0.289,0.003,1.379322
5,1-Dec-21,BBOC,M,4,0.287,0.002,0.273,0.002,2.758644
5,1-Dec-21,BBOC,M,5,0.243,0.004,0.225,0.001,2.95569
5,1-Dec-21,BBOC,M,6,0.227,0.003,0.218,0.002,1.576368
5,1-Dec-21,BBOC,S,7,0.218,0.005,0.201,0.001,2.561598
5,1-Dec-21,BBOC,S,8,0.239,0.003,0.231,0.002,1.379322
5,1-Dec-21,BBOC,S,9,0.222,0.002,0.202,0.001,3.743874
5,1-Dec-21,TBOC,N,1,0.118,0.004,0.101,0.001,2.758644
5,1-Dec-21,TBOC,N,2,0.197,0.005,0.191,0.003,0.788184
5,1-Dec-21,TBOC,N,3,0.248,0.003,0.239,0.002,1.576368
5,1-Dec-21,TBOC,M,4,0.123,0.002,0.112,0.001,1.97046
5,1-Dec-21,TBOC,M,5,0.134,0.003,0.124,0.002,1.773414
5,1-Dec-21,TBOC,M,6,0.189,0.002,0.178,0.001,1.97046
5,1-Dec-21,TBOC,S,7,0.132,0.001,0.129,0.001,0.591138
5,1-Dec-21,TBOC,S,8,0.146,0.001,0.134,0,2.167506
5,1-Dec-21,TBOC,S,9,0.172,0.001,0.168,0.001,0.788184
,,Practice,,1,0.105,0.008,0.092,0.007,2.364552
,,Practice,,2,0.115,0.002,0.098,0.001,3.152736
,,Practice,,3,0.118,0.005,0.101,0.003,2.95569
